tmc_code,measurement_tstamp,speed,average_speed,reference_speed,travel_time_seconds,confidence_score,cvalue
TMC001,01/15/2019 07:05,45.65,45.65,65.0,55.2,25,100.0
TMC001,01/15/2019 07:10,48.5,48.5,65.0,51.95,25,100.0
TMC001,01/15/2019 07:15,44.09,44.09,65.0,57.15,25,100.0
TMC001,01/15/2019 07:20,40.25,40.25,65.0,62.61,25,100.0
TMC001,01/15/2019 07:25,42.37,42.37,65.0,59.48,25,100.0
TMC001,01/15/2019 07:30,42.15,42.15,65.0,59.79,25,100.0
TMC001,01/15/2019 07:35,37.96,37.96,65.0,66.38,25,100.0
TMC001,01/15/2019 07:40,45.56,45.56,65.0,55.32,25,100.0
TMC001,01/15/2019 07:45,42.97,42.97,65.0,58.65,25,100.0
TMC001,01/15/2019 07:50,50.28,50.28,65.0,50.12,25,
TMC001,01/15/2019 07:55,50.44,50.44,65.0,49.96,25,
TMC001,01/15/2019 08:00,49.56,49.56,65.0,50.85,25,100.0
TMC001,01/15/2019 08:05,49.74,49.74,65.0,50.67,25,100.0
TMC001,01/15/2019 08:10,45.9,45.9,65.0,54.9,25,100.0
TMC001,01/15/2019 08:15,53.05,53.05,65.0,47.5,25,
TMC001,01/15/2019 08:20,49.59,49.59,65.0,50.82,25,100.0
TMC001,01/15/2019 08:25,57.33,57.33,65.0,43.95,25,
TMC001,01/15/2019 08:30,56.0,56.0,65.0,45.0,25,
TMC001,01/15/2019 08:35,59.5,59.5,65.0,42.35,25,
TMC001,01/15/2019 08:40,59.65,59.65,65.0,42.25,25,
TMC001,01/15/2019 08:45,63.57,63.57,65.0,39.64,25,
TMC001,01/15/2019 08:50,66.03,66.03,65.0,38.16,25,
TMC001,01/15/2019 08:55,62.94,62.94,65.0,40.04,25,
TMC001,01/15/2019 09:00,65.57,65.57,65.0,38.44,25,
TMC001,01/15/2019 09:05,60.65,60.65,65.0,41.55,25,
TMC001,01/15/2019 09:10,63.46,63.46,65.0,39.71,25,
TMC001,01/15/2019 09:15,54.89,54.89,65.0,45.91,25,
TMC001,01/15/2019 09:20,62.76,62.76,65.0,40.15,25,
TMC001,01/15/2019 09:25,65.1,65.1,65.0,38.71,25,
TMC001,01/15/2019 09:30,65.54,65.54,65.0,38.45,25,
TMC001,01/15/2019 09:35,65.41,65.41,65.0,38.53,25,
TMC001,01/15/2019 09:40,61.78,61.78,65.0,40.79,25,
TMC001,01/15/2019 09:45,52.58,52.58,65.0,47.93,25,
TMC001,01/15/2019 09:50,67.97,67.97,65.0,37.08,25,
TMC001,01/15/2019 09:55,62.43,62.43,65.0,40.37,25,
TMC001,01/15/2019 10:00,61.67,61.67,65.0,40.86,25,
TMC001,01/15/2019 10:05,54.76,54.76,65.0,46.02,25,
TMC001,01/15/2019 10:10,63.6,63.6,65.0,39.62,25,
TMC001,01/15/2019 10:15,61.19,61.19,65.0,41.19,25,
TMC001,01/15/2019 10:20,57.74,57.74,65.0,43.64,25,
TMC001,01/15/2019 10:25,57.78,57.78,65.0,43.62,25,
TMC001,01/15/2019 10:30,63.65,63.65,65.0,39.59,25,
TMC001,01/15/2019 10:35,63.55,63.55,65.0,39.65,25,
TMC001,01/15/2019 10:40,59.62,59.62,65.0,42.26,25,
TMC001,01/15/2019 10:45,66.31,66.31,65.0,38.0,25,
TMC001,01/15/2019 10:50,59.14,59.14,65.0,42.61,25,
TMC001,01/15/2019 10:55,61.51,61.51,65.0,40.97,25,
TMC001,01/15/2019 11:00,64.07,64.07,65.0,39.33,25,
TMC001,01/15/2019 11:05,60.47,60.47,65.0,41.67,25,
TMC001,01/15/2019 11:10,62.79,62.79,65.0,40.13,25,
TMC001,01/15/2019 11:15,68.92,68.92,65.0,36.56,25,
TMC001,01/15/2019 11:20,65.23,65.23,65.0,38.63,25,
TMC001,01/15/2019 11:25,58.08,58.08,65.0,43.39,25,
TMC001,01/15/2019 11:30,61.0,61.0,65.0,41.31,25,
TMC001,01/15/2019 11:35,64.87,64.87,65.0,38.85,25,
TMC001,01/15/2019 11:40,55.63,55.63,65.0,45.3,25,
TMC001,01/15/2019 11:45,64.85,64.85,65.0,38.86,25,
TMC001,01/15/2019 11:50,58.78,58.78,65.0,42.87,25,
TMC001,01/15/2019 11:55,59.51,59.51,65.0,42.35,25,
TMC001,01/15/2019 12:00,65.15,65.15,65.0,38.68,25,
TMC001,01/15/2019 12:05,59.64,59.64,65.0,42.25,25,
TMC001,01/15/2019 12:10,60.2,60.2,65.0,41.86,25,
TMC001,01/15/2019 12:15,58.02,58.02,65.0,43.44,25,
TMC001,01/15/2019 12:20,66.66,66.66,65.0,37.81,25,
TMC001,01/15/2019 12:25,62.22,62.22,65.0,40.5,25,
TMC001,01/15/2019 12:30,62.76,62.76,65.0,40.15,25,
TMC001,01/15/2019 12:35,64.78,64.78,65.0,38.9,25,
TMC001,01/15/2019 12:40,59.79,59.79,65.0,42.15,25,
TMC001,01/15/2019 12:45,66.9,66.9,65.0,37.67,25,
TMC001,01/15/2019 12:50,60.37,60.37,65.0,41.74,25,
TMC001,01/15/2019 12:55,66.23,66.23,65.0,38.05,25,
TMC001,01/15/2019 13:00,65.64,65.64,65.0,38.39,25,
TMC001,01/15/2019 13:05,56.34,56.34,65.0,44.73,25,
TMC001,01/15/2019 13:10,61.62,61.62,65.0,40.89,25,
TMC001,01/15/2019 13:15,61.71,61.71,65.0,40.83,25,
TMC001,01/15/2019 13:20,56.58,56.58,65.0,44.54,25,
TMC001,01/15/2019 13:25,58.08,58.08,65.0,43.39,25,
TMC001,01/15/2019 13:30,65.54,65.54,65.0,38.45,25,
TMC001,01/15/2019 13:35,56.17,56.17,65.0,44.86,25,
TMC001,01/15/2019 13:40,57.04,57.04,65.0,44.18,25,
TMC001,01/15/2019 13:45,63.83,63.83,65.0,39.48,25,
TMC001,01/15/2019 13:50,66.68,66.68,65.0,37.8,25,
TMC001,01/15/2019 13:55,65.08,65.08,65.0,38.72,25,
TMC001,01/15/2019 14:00,68.34,68.34,65.0,36.87,25,
TMC001,01/15/2019 14:05,63.4,63.4,65.0,39.74,25,
TMC001,01/15/2019 14:10,58.45,58.45,65.0,43.11,25,
TMC001,01/15/2019 14:15,58.17,58.17,65.0,43.32,25,
TMC001,01/15/2019 14:20,60.0,60.0,65.0,42.0,25,
TMC001,01/15/2019 14:25,59.41,59.41,65.0,42.42,25,
TMC001,01/15/2019 14:30,60.59,60.59,65.0,41.59,25,
TMC001,01/15/2019 14:35,58.94,58.94,65.0,42.75,25,
TMC001,01/15/2019 14:40,62.73,62.73,65.0,40.17,25,
TMC001,01/15/2019 14:45,52.02,52.02,65.0,48.44,25,
TMC001,01/15/2019 14:50,61.39,61.39,65.0,41.05,25,
TMC001,01/15/2019 14:55,62.17,62.17,65.0,40.53,25,
TMC001,01/15/2019 15:00,59.76,59.76,65.0,42.17,25,
TMC001,01/15/2019 15:05,58.26,58.26,65.0,43.26,25,
TMC001,01/15/2019 15:10,59.11,59.11,65.0,42.63,25,
TMC001,01/15/2019 15:15,61.23,61.23,65.0,41.15,25,
TMC001,01/15/2019 15:20,61.74,61.74,65.0,40.81,25,
TMC001,01/15/2019 15:25,56.96,56.96,65.0,44.24,25,
TMC001,01/15/2019 15:30,68.71,68.71,65.0,36.68,25,
TMC001,01/15/2019 15:35,61.14,61.14,65.0,41.22,25,
TMC001,01/15/2019 15:40,59.06,59.06,65.0,42.67,25,
TMC001,01/15/2019 15:45,60.87,60.87,65.0,41.4,25,
TMC001,01/15/2019 15:50,66.97,66.97,65.0,37.63,25,
TMC001,01/15/2019 15:55,61.28,61.28,65.0,41.12,25,
TMC001,01/15/2019 16:00,51.84,51.84,65.0,48.61,25,
TMC001,01/15/2019 16:05,53.19,53.19,65.0,47.38,25,
TMC001,01/15/2019 16:10,54.11,54.11,65.0,46.57,25,
TMC001,01/15/2019 16:15,47.94,47.94,65.0,52.56,25,100.0
TMC001,01/15/2019 16:20,50.11,50.11,65.0,50.28,25,
TMC001,01/15/2019 16:25,40.44,40.44,65.0,62.31,25,100.0
TMC001,01/15/2019 16:30,49.27,49.27,65.0,51.15,25,100.0
TMC001,01/15/2019 16:35,41.59,41.59,65.0,60.6,25,100.0
TMC001,01/15/2019 16:40,43.75,43.75,65.0,57.61,25,100.0
TMC001,01/15/2019 16:45,45.08,45.08,65.0,55.9,25,100.0
TMC001,01/15/2019 16:50,43.24,43.24,65.0,58.28,25,100.0
TMC001,01/15/2019 16:55,39.19,39.19,65.0,64.3,25,100.0
TMC001,01/15/2019 17:00,39.76,39.76,65.0,63.39,25,100.0
TMC001,01/15/2019 17:05,36.85,36.85,65.0,68.38,25,100.0
TMC001,01/15/2019 17:10,43.92,43.92,65.0,57.37,25,100.0
TMC001,01/15/2019 17:15,46.99,46.99,65.0,53.63,25,100.0
TMC001,01/15/2019 17:20,39.58,39.58,65.0,63.67,25,100.0
TMC001,01/15/2019 17:25,42.47,42.47,65.0,59.33,25,100.0
TMC001,01/15/2019 17:30,47.64,47.64,65.0,52.9,25,100.0
TMC001,01/15/2019 17:35,48.04,48.04,65.0,52.45,25,100.0
TMC001,01/15/2019 17:40,51.49,51.49,65.0,48.94,25,
TMC001,01/15/2019 17:45,48.38,48.38,65.0,52.09,25,100.0
TMC001,01/15/2019 17:50,50.07,50.07,65.0,50.33,25,
TMC001,01/15/2019 17:55,54.75,54.75,65.0,46.02,25,
TMC001,01/15/2019 18:00,59.22,59.22,65.0,42.55,25,
TMC001,01/15/2019 18:05,55.72,55.72,65.0,45.22,25,
TMC001,01/15/2019 18:10,61.17,61.17,65.0,41.2,25,
TMC001,01/15/2019 18:15,63.15,63.15,65.0,39.91,25,
TMC001,01/15/2019 18:20,64.19,64.19,65.0,39.26,25,
TMC001,01/15/2019 18:25,63.13,63.13,65.0,39.92,25,
TMC001,01/15/2019 18:30,59.81,59.81,65.0,42.13,25,
TMC001,01/15/2019 18:35,63.75,63.75,65.0,39.53,25,
TMC001,01/15/2019 18:40,61.15,61.15,65.0,41.21,25,
TMC001,01/15/2019 18:45,67.86,67.86,65.0,37.14,25,
TMC001,01/15/2019 18:50,68.12,68.12,65.0,36.99,25,
TMC001,01/15/2019 18:55,65.7,65.7,65.0,38.35,25,
TMC001,01/15/2019 19:00,57.22,57.22,65.0,44.04,25,
TMC001,01/15/2019 19:05,58.81,58.81,65.0,42.85,25,
TMC001,01/15/2019 19:10,66.88,66.88,65.0,37.68,25,
TMC001,01/15/2019 19:15,57.77,57.77,65.0,43.62,25,
TMC001,01/15/2019 19:20,62.84,62.84,65.0,40.1,25,
TMC001,01/15/2019 19:25,62.42,62.42,65.0,40.37,25,
TMC001,01/15/2019 19:30,58.33,58.33,65.0,43.2,25,
TMC001,01/15/2019 19:35,57.48,57.48,65.0,43.84,25,
TMC001,01/15/2019 19:40,59.12,59.12,65.0,42.63,25,
TMC001,01/15/2019 19:45,58.24,58.24,65.0,43.27,25,
TMC001,01/15/2019 19:50,63.31,63.31,65.0,39.81,25,
TMC001,01/15/2019 19:55,66.41,66.41,65.0,37.95,25,
TMC001,01/15/2019 20:00,57.55,57.55,65.0,43.78,25,
TMC001,01/15/2019 20:05,58.14,58.14,65.0,43.34,25,
TMC001,01/15/2019 20:10,60.08,60.08,65.0,41.94,25,
TMC001,01/15/2019 20:15,63.11,63.11,65.0,39.93,25,
TMC001,01/15/2019 20:20,61.67,61.67,65.0,40.86,25,
TMC001,01/15/2019 20:25,53.68,53.68,65.0,46.94,25,
TMC001,01/15/2019 20:30,66.25,66.25,65.0,38.04,25,
TMC001,01/15/2019 20:35,63.97,63.97,65.0,39.39,25,
TMC001,01/15/2019 20:40,63.61,63.61,65.0,39.61,25,
TMC001,01/15/2019 20:45,59.18,59.18,65.0,42.58,25,
TMC001,01/15/2019 20:50,67.25,67.25,65.0,37.47,25,
TMC001,01/15/2019 20:55,60.32,60.32,65.0,41.78,25,
TMC001,01/15/2019 21:00,58.7,58.7,65.0,42.93,25,
TMC001,01/15/2019 21:05,65.48,65.48,65.0,38.49,25,
TMC001,01/15/2019 21:10,60.1,60.1,65.0,41.93,25,
TMC001,01/15/2019 21:15,60.06,60.06,65.0,41.96,25,
TMC001,01/15/2019 21:20,62.19,62.19,65.0,40.52,25,
TMC001,01/15/2019 21:25,59.53,59.53,65.0,42.33,25,
TMC001,01/15/2019 21:30,64.37,64.37,65.0,39.15,25,
TMC001,01/15/2019 21:35,56.45,56.45,65.0,44.64,25,
TMC001,01/15/2019 21:40,59.19,59.19,65.0,42.58,25,
TMC001,01/15/2019 21:45,63.33,63.33,65.0,39.79,25,
TMC001,01/15/2019 21:50,55.62,55.62,65.0,45.31,25,
TMC001,01/15/2019 21:55,63.78,63.78,65.0,39.51,25,
TMC001,01/15/2019 22:00,57.5,57.5,65.0,43.83,25,
TMC001,01/15/2019 22:05,62.3,62.3,65.0,40.45,25,
TMC001,01/15/2019 22:10,66.52,66.52,65.0,37.88,25,
TMC001,01/15/2019 22:15,59.33,59.33,65.0,42.47,25,
TMC001,01/15/2019 22:20,64.45,64.45,65.0,39.1,25,
TMC001,01/15/2019 22:25,70.0,70.0,65.0,36.0,25,
TMC001,01/15/2019 22:30,65.08,65.08,65.0,38.72,25,
TMC001,01/15/2019 22:35,62.56,62.56,65.0,40.28,25,
TMC001,01/15/2019 22:40,66.63,66.63,65.0,37.82,25,
TMC001,01/15/2019 22:45,57.95,57.95,65.0,43.48,25,
TMC001,01/15/2019 22:50,62.2,62.2,65.0,40.51,25,
TMC001,01/15/2019 22:55,58.94,58.94,65.0,42.75,25,
TMC001,01/15/2019 23:00,62.08,62.08,65.0,40.59,25,
TMC001,01/15/2019 23:05,61.67,61.67,65.0,40.86,25,
TMC001,01/15/2019 23:10,58.72,58.72,65.0,42.92,25,
TMC001,01/15/2019 23:15,61.24,61.24,65.0,41.15,25,
TMC001,01/15/2019 23:20,63.09,63.09,65.0,39.94,25,
TMC001,01/15/2019 23:25,61.79,61.79,65.0,40.78,25,
TMC001,01/15/2019 23:30,62.12,62.12,65.0,40.57,25,
TMC001,01/15/2019 23:35,61.31,61.31,65.0,41.1,25,
TMC001,01/15/2019 23:40,61.51,61.51,65.0,40.97,25,
TMC001,01/15/2019 23:45,58.85,58.85,65.0,42.82,25,
TMC001,01/15/2019 23:50,59.47,59.47,65.0,42.37,25,
TMC001,01/15/2019 23:55,62.15,62.15,65.0,40.55,25,
TMC002,01/15/2019 00:00,58.81,58.81,65.0,42.85,25,
TMC002,01/15/2019 00:05,59.96,59.96,65.0,42.03,25,
TMC002,01/15/2019 00:10,60.46,60.46,65.0,41.68,25,
TMC002,01/15/2019 00:15,63.76,63.76,65.0,39.53,25,
TMC002,01/15/2019 00:20,64.66,64.66,65.0,38.98,25,
TMC002,01/15/2019 00:25,65.74,65.74,65.0,38.33,25,
TMC002,01/15/2019 00:30,65.03,65.03,65.0,38.75,25,
TMC002,01/15/2019 00:35,57.21,57.21,65.0,44.05,25,
TMC002,01/15/2019 00:40,59.97,59.97,65.0,42.02,25,
TMC002,01/15/2019 00:45,59.42,59.42,65.0,42.41,25,
TMC002,01/15/2019 00:50,57.05,57.05,65.0,44.17,25,
TMC002,01/15/2019 00:55,65.73,65.73,65.0,38.34,25,
TMC002,01/15/2019 01:00,59.72,59.72,65.0,42.2,25,
TMC002,01/15/2019 01:05,58.58,58.58,65.0,43.02,25,
TMC002,01/15/2019 01:10,57.85,57.85,65.0,43.56,25,
TMC002,01/15/2019 01:15,63.27,63.27,65.0,39.83,25,
TMC002,01/15/2019 01:20,59.87,59.87,65.0,42.09,25,
TMC002,01/15/2019 01:25,58.44,58.44,65.0,43.12,25,
TMC002,01/15/2019 01:30,60.63,60.63,65.0,41.56,25,
TMC002,01/15/2019 01:35,63.11,63.11,65.0,39.93,25,
TMC002,01/15/2019 01:40,64.16,64.16,65.0,39.28,25,
TMC002,01/15/2019 01:45,61.9,61.9,65.0,40.71,25,
TMC002,01/15/2019 01:50,63.91,63.91,65.0,39.43,25,
TMC002,01/15/2019 01:55,59.36,59.36,65.0,42.45,25,
TMC002,01/15/2019 02:00,69.07,69.07,65.0,36.49,25,
TMC002,01/15/2019 02:05,62.28,62.28,65.0,40.46,25,
TMC002,01/15/2019 02:10,62.71,62.71,65.0,40.19,25,
TMC002,01/15/2019 02:15,62.68,62.68,65.0,40.2,25,
TMC002,01/15/2019 02:20,61.83,61.83,65.0,40.76,25,
TMC002,01/15/2019 02:25,69.52,69.52,65.0,36.25,25,
TMC002,01/15/2019 02:30,70.0,70.0,65.0,36.0,25,
TMC002,01/15/2019 02:35,60.05,60.05,65.0,41.97,25,
TMC002,01/15/2019 02:40,62.04,62.04,65.0,40.62,25,
TMC002,01/15/2019 02:45,61.65,61.65,65.0,40.88,25,
TMC002,01/15/2019 02:50,62.3,62.3,65.0,40.45,25,
TMC002,01/15/2019 02:55,58.53,58.53,65.0,43.06,25,
TMC002,01/15/2019 03:00,58.08,58.08,65.0,43.39,25,
TMC002,01/15/2019 03:05,60.81,60.81,65.0,41.44,25,
TMC002,01/15/2019 03:10,61.8,61.8,65.0,40.77,25,
TMC002,01/15/2019 03:15,61.49,61.49,65.0,40.98,25,
TMC002,01/15/2019 03:20,59.25,59.25,65.0,42.53,25,
TMC002,01/15/2019 03:25,62.37,62.37,65.0,40.4,25,
TMC002,01/15/2019 03:30,64.92,64.92,65.0,38.82,25,
TMC002,01/15/2019 03:35,62.88,62.88,65.0,40.08,25,
TMC002,01/15/2019 03:40,58.76,58.76,65.0,42.89,25,
TMC002,01/15/2019 03:45,60.42,60.42,65.0,41.71,25,
TMC002,01/15/2019 03:50,64.34,64.34,65.0,39.17,25,
TMC002,01/15/2019 03:55,61.44,61.44,65.0,41.02,25,
TMC002,01/15/2019 04:00,61.55,61.55,65.0,40.94,25,
TMC002,01/15/2019 04:05,54.16,54.16,65.0,46.53,25,
TMC002,01/15/2019 04:10,57.87,57.87,65.0,43.55,25,
TMC002,01/15/2019 04:15,68.97,68.97,65.0,36.54,25,
TMC002,01/15/2019 04:20,62.18,62.18,65.0,40.53,25,
TMC002,01/15/2019 04:25,66.98,66.98,65.0,37.63,25,
TMC002,01/15/2019 04:30,55.64,55.64,65.0,45.29,25,
TMC002,01/15/2019 04:35,62.91,62.91,65.0,40.06,25,
TMC002,01/15/2019 04:40,61.34,61.34,65.0,41.08,25,
TMC002,01/15/2019 04:45,58.5,58.5,65.0,43.08,25,
TMC002,01/15/2019 04:50,62.7,62.7,65.0,40.19,25,
TMC002,01/15/2019 04:55,65.37,65.37,65.0,38.55,25,
TMC002,01/15/2019 05:00,58.11,58.11,65.0,43.37,25,
TMC002,01/15/2019 05:05,62.09,62.09,65.0,40.59,25,
TMC002,01/15/2019 05:10,62.43,62.43,65.0,40.37,25,
TMC002,01/15/2019 05:15,59.41,59.41,65.0,42.42,25,
TMC002,01/15/2019 05:20,57.0,57.0,65.0,44.21,25,
TMC002,01/15/2019 05:25,63.25,63.25,65.0,39.84,25,
TMC002,01/15/2019 05:30,63.24,63.24,65.0,39.85,25,
TMC002,01/15/2019 05:35,65.11,65.11,65.0,38.7,25,
TMC002,01/15/2019 05:40,68.62,68.62,65.0,36.72,25,
TMC002,01/15/2019 05:45,62.61,62.61,65.0,40.25,25,
TMC002,01/15/2019 05:50,56.22,56.22,65.0,44.82,25,
TMC002,01/15/2019 05:55,57.8,57.8,65.0,43.6,25,
TMC002,01/15/2019 06:00,59.18,59.18,65.0,42.58,25,
TMC002,01/15/2019 06:05,67.09,67.09,65.0,37.56,25,
TMC002,01/15/2019 06:10,66.42,66.42,65.0,37.94,25,
TMC002,01/15/2019 06:15,61.88,61.88,65.0,40.72,25,
TMC002,01/15/2019 06:20,56.56,56.56,65.0,44.55,25,
TMC002,01/15/2019 06:25,52.79,52.79,65.0,47.74,25,
TMC002,01/15/2019 06:30,61.74,61.74,65.0,40.81,25,
TMC002,01/15/2019 06:35,59.86,59.86,65.0,42.1,25,
TMC002,01/15/2019 06:40,49.43,49.43,65.0,50.98,25,100.0
TMC002,01/15/2019 06:45,53.72,53.72,65.0,46.91,25,
TMC002,01/15/2019 06:50,57.47,57.47,65.0,43.85,25,
TMC002,01/15/2019 06:55,45.36,45.36,65.0,55.56,25,100.0
TMC002,01/15/2019 07:00,43.24,43.24,65.0,58.27,25,100.0
TMC002,01/15/2019 07:05,45.99,45.99,65.0,54.79,25,100.0
TMC002,01/15/2019 07:10,43.64,43.64,65.0,57.74,25,100.0
TMC002,01/15/2019 07:15,39.92,39.92,65.0,63.13,25,100.0
TMC002,01/15/2019 07:20,35.83,35.83,65.0,70.32,25,100.0
TMC002,01/15/2019 07:25,42.22,42.22,65.0,59.68,25,100.0
TMC002,01/15/2019 07:30,35.34,35.34,65.0,71.31,25,100.0
TMC002,01/15/2019 07:35,39.14,39.14,65.0,64.38,25,100.0
TMC002,01/15/2019 07:40,41.29,41.29,65.0,61.03,25,100.0
TMC002,01/15/2019 07:45,43.46,43.46,65.0,57.98,25,100.0
TMC002,01/15/2019 07:50,43.64,43.64,65.0,57.74,25,100.0
TMC002,01/15/2019 07:55,47.98,47.98,65.0,52.53,25,100.0
TMC002,01/15/2019 08:00,45.82,45.82,65.0,55.0,25,100.0
TMC002,01/15/2019 08:05,49.83,49.83,65.0,50.57,25,100.0
TMC002,01/15/2019 08:10,51.7,51.7,65.0,48.74,25,
TMC002,01/15/2019 08:15,53.18,53.18,65.0,47.38,25,
TMC002,01/15/2019 08:20,54.75,54.75,65.0,46.02,25,
TMC002,01/15/2019 08:25,54.34,54.34,65.0,46.37,25,
TMC002,01/15/2019 08:30,52.53,52.53,65.0,47.97,25,
TMC002,01/15/2019 08:35,58.84,58.84,65.0,42.83,25,
TMC002,01/15/2019 08:40,60.92,60.92,65.0,41.37,25,
